City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Busselton,AU,81.05,clear sky,-33.65,115.3333,Observatory Guest House
7,Nabire,ID,86.54,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
8,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
11,Muswellbrook,AU,82.24,broken clouds,-32.2667,150.9,Wayfarer Motel
14,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
16,Maragogi,BR,79.83,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
18,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
23,San Rafael,AR,75.15,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
24,Lorengau,PG,83.98,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
25,Rikitea,PF,79.0,clear sky,-23.1203,-134.9692,People ThankYou
29,Vao,NC,80.46,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
31,Faanui,PF,80.38,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
34,Auki,SB,77.81,heavy intensity rain,-8.7676,160.7034,Auki Motel
39,Ladario,BR,81.93,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
40,Buala,SB,80.38,light rain,-8.145,159.5921,Maringe Lagoon Lodge
43,Davila,PH,80.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
49,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
51,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
52,Saint-Philippe,RE,80.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
57,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Ulladulla,AU,84.78,broken clouds,-35.35,150.4667,Sandpiper Motel
68,Hithadhoo,MV,82.09,broken clouds,-0.6,73.0833,Scoop Guest House
69,Labuhan,ID,78.3,light rain,-6.8844,112.2051,DoubleFAG
72,Pontianak,ID,82.38,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
73,Angoche,MZ,76.08,light rain,-16.2325,39.9086,Guest House HESADA
83,Puerto Suarez,BO,82.53,overcast clouds,-18.95,-57.8,Hotel casa real
90,Cabo San Lucas,MX,77.31,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
93,Atuona,PF,77.61,light rain,-9.8,-139.0333,Villa Enata
103,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
105,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
108,Gizo,SB,84.49,broken clouds,-8.103,156.8419,Imagination Island
112,Kattivakkam,IN,79.07,few clouds,13.2167,80.3167,Euronova Freezer
