City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tiksi,RU,71.6872,128.8694,-12.42,91,19,10.47,few clouds
1,Qaanaaq,GL,77.484,-69.3632,-8.28,70,76,6.76,broken clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,64.87,72,0,1.99,clear sky
3,Verkhnevilyuysk,RU,63.4453,120.3167,-15.18,98,100,1.03,overcast clouds
4,Saskylakh,RU,71.9167,114.0833,-17.45,93,20,3.02,few clouds
5,Ushuaia,AR,-54.8,-68.3,38.86,75,40,18.41,scattered clouds
6,Busselton,AU,-33.65,115.3333,81.05,46,0,9.48,clear sky
7,Nabire,ID,-3.3667,135.4833,86.54,63,96,3.8,overcast clouds
8,Vaini,TO,-21.2,-175.2,86.16,74,40,8.05,scattered clouds
9,Grand-Santi,GF,4.25,-54.3833,71.96,99,47,2.21,moderate rain
10,Mehamn,NO,71.0357,27.8492,19.76,94,100,7.61,light snow
11,Muswellbrook,AU,-32.2667,150.9,82.24,36,60,4.47,broken clouds
12,Lagoa,PT,39.05,-27.9833,56.64,60,100,5.06,overcast clouds
13,Venancio Aires,BR,-29.6064,-52.1919,68.27,44,0,3.58,clear sky
14,Geraldton,AU,-28.7667,114.6,84.61,61,0,5.75,clear sky
15,Thompson,CA,55.7435,-97.8558,-20.04,76,0,0.0,clear sky
16,Maragogi,BR,-9.0122,-35.2225,79.83,75,12,10.4,few clouds
17,Columbus,US,39.9612,-82.9988,21.11,83,100,8.05,haze
18,Avarua,CK,-21.2078,-159.775,75.25,88,20,4.61,light rain
19,Tasiilaq,GL,65.6145,-37.6368,21.36,91,100,20.71,light snow
20,Zverinogolovskoye,RU,54.4586,64.8542,7.97,97,100,3.24,overcast clouds
21,Shannon,IE,52.7039,-8.8642,41.0,93,40,10.36,scattered clouds
22,Wanning,CN,18.8003,110.3967,68.36,89,100,10.56,overcast clouds
23,San Rafael,AR,-34.6177,-68.3301,75.15,26,31,7.65,scattered clouds
24,Lorengau,PG,-2.0226,147.2712,83.98,73,92,2.86,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,79.0,70,3,14.58,clear sky
26,Faya,SA,18.3851,42.4509,48.31,62,11,2.19,few clouds
27,Lebu,CL,-37.6167,-73.65,57.61,91,98,5.28,overcast clouds
28,Carroll,US,39.5501,-77.0164,29.5,62,40,1.01,scattered clouds
29,Vao,NC,-22.6667,167.4833,80.46,80,99,9.13,overcast clouds
30,Mogos,PT,38.877,-9.0946,53.58,85,20,5.01,few clouds
31,Faanui,PF,-16.4833,-151.75,80.38,75,100,13.85,light rain
32,Alice Springs,AU,-23.7,133.8833,90.95,24,0,11.5,clear sky
33,Cape Town,ZA,-33.9258,18.4232,68.41,80,20,19.57,few clouds
34,Auki,SB,-8.7676,160.7034,77.81,90,100,3.0,heavy intensity rain
35,Iqaluit,CA,63.7506,-68.5145,-16.31,62,100,4.61,light snow
36,Punta Arenas,CL,-53.15,-70.9167,44.71,49,20,8.05,few clouds
37,Itoman,JP,26.1247,127.6694,64.78,88,75,19.57,broken clouds
38,Hermanus,ZA,-34.4187,19.2345,67.89,79,80,17.87,broken clouds
39,Ladario,BR,-19.0047,-57.6017,81.93,57,80,1.01,broken clouds
40,Buala,SB,-8.145,159.5921,80.38,84,100,6.62,light rain
41,Araouane,ML,18.9048,-3.5265,58.91,23,25,11.01,scattered clouds
42,Abu Samrah,SY,35.3029,37.1841,44.53,78,0,7.65,clear sky
43,Davila,PH,18.4726,120.5763,80.58,70,99,6.31,overcast clouds
44,Kodiak,US,57.79,-152.4072,38.71,65,0,0.0,clear sky
45,Bredasdorp,ZA,-34.5322,20.0403,67.32,73,99,8.05,overcast clouds
46,Albany,US,42.6001,-73.9662,21.15,59,29,1.01,scattered clouds
47,Luchegorsk,RU,46.4764,134.2569,8.92,89,97,1.03,overcast clouds
48,Peniche,PT,39.3558,-9.3811,54.63,85,0,14.27,clear sky
49,Souillac,MU,-20.5167,57.5167,80.98,89,40,6.91,light rain
50,Ilulissat,GL,69.2167,-51.1,6.82,72,100,13.8,light shower snow
51,Padang,ID,-0.9492,100.3543,86.05,62,63,0.74,broken clouds
52,Saint-Philippe,RE,-21.3585,55.7679,80.15,87,38,11.43,scattered clouds
53,Kashi,CN,39.4547,75.9797,29.41,46,0,8.95,clear sky
54,Khatanga,RU,71.9667,102.5,-27.56,100,52,2.33,broken clouds
55,Chuy,UY,-33.6971,-53.4616,58.44,67,5,7.31,clear sky
56,Vrangel,RU,42.7297,133.0839,21.0,39,100,5.1,overcast clouds
57,Kapaa,US,22.0752,-159.319,78.78,65,0,17.27,clear sky
58,Ribeira Grande,PT,38.5167,-28.7,58.08,69,100,3.51,overcast clouds
59,Jamestown,US,42.097,-79.2353,15.12,67,100,5.75,overcast clouds
60,Port Alfred,ZA,-33.5906,26.891,68.83,90,58,15.21,light rain
61,Gori,GE,41.9842,44.1158,32.67,93,100,13.11,overcast clouds
62,Bone,DE,51.9669,12.1396,42.91,68,92,13.44,overcast clouds
63,Olafsvik,IS,64.8945,-23.7142,32.45,72,100,12.53,heavy snow
64,Henties Bay,NA,-22.116,14.2845,71.85,87,68,5.91,broken clouds
65,Severo-Kurilsk,RU,50.6789,156.125,26.58,67,58,15.75,broken clouds
66,Ulladulla,AU,-35.35,150.4667,84.78,40,84,11.88,broken clouds
67,Puerto Ayora,EC,-0.7393,-90.3518,74.55,94,95,3.47,overcast clouds
68,Hithadhoo,MV,-0.6,73.0833,82.09,74,52,12.8,broken clouds
69,Labuhan,ID,-6.8844,112.2051,78.3,86,92,5.44,light rain
70,Sept-Iles,CA,50.2001,-66.3821,-5.94,77,0,5.75,clear sky
71,Kamaishi,JP,39.2667,141.8833,34.75,40,11,3.58,few clouds
72,Pontianak,ID,-0.0333,109.3333,82.38,78,20,3.44,few clouds
73,Angoche,MZ,-16.2325,39.9086,76.08,92,95,5.17,light rain
74,Bilibino,RU,68.0546,166.4372,-22.95,98,89,1.5,overcast clouds
75,Orlik,RU,52.5178,99.825,-19.75,96,73,2.37,broken clouds
76,Havoysund,NO,70.9963,24.6622,20.28,86,100,10.85,light snow
77,Castro,BR,-24.7911,-50.0119,65.43,89,97,2.48,overcast clouds
78,Broome,US,42.2506,-75.833,15.62,76,0,8.05,clear sky
79,Saint George,US,37.1041,-113.5841,61.39,19,0,1.01,clear sky
80,Hualmay,PE,-11.0964,-77.6139,71.38,80,100,9.6,overcast clouds
81,Bulgan,MN,48.8125,103.5347,-11.87,96,90,0.74,overcast clouds
82,Lompoc,US,34.6391,-120.4579,69.57,72,0,1.01,clear sky
83,Puerto Suarez,BO,-18.95,-57.8,82.53,57,94,0.43,overcast clouds
84,Lata,PT,40.1629,-8.3327,53.82,94,33,3.0,scattered clouds
85,Guerrero Negro,MX,27.9769,-114.0611,69.04,38,6,9.66,clear sky
86,Prince Rupert,CA,54.3161,-130.3201,46.09,87,100,6.91,overcast clouds
87,San Patricio,US,28.017,-97.5169,53.83,39,92,8.39,overcast clouds
88,Mataura,NZ,-46.1927,168.8643,66.47,35,100,2.75,overcast clouds
89,Bluff,NZ,-46.6,168.3333,66.79,63,100,1.57,overcast clouds
90,Cabo San Lucas,MX,22.8909,-109.9124,77.31,33,20,5.75,few clouds
91,Dikson,RU,73.5069,80.5464,-5.42,88,100,23.17,overcast clouds
92,La Ronge,CA,55.1001,-105.2842,7.05,78,100,8.05,overcast clouds
93,Atuona,PF,-9.8,-139.0333,77.61,79,17,13.56,light rain
94,Menongue,AO,-14.6585,17.691,63.46,94,100,2.64,overcast clouds
95,Liepaja,LV,56.5419,21.0367,35.65,87,0,13.8,clear sky
96,Jumla,NP,29.2747,82.1838,31.51,62,0,6.2,clear sky
97,Kindu,CD,-2.95,25.95,69.01,98,99,2.89,overcast clouds
98,Mangan,IN,27.5167,88.5333,56.3,40,0,3.67,clear sky
99,Fairbanks,US,64.8378,-147.7164,9.3,82,100,4.61,light snow
100,Nishihara,JP,26.1842,127.7558,64.06,88,75,19.57,broken clouds
101,Cherskiy,RU,68.75,161.3,-21.87,97,95,6.29,overcast clouds
102,Progreso,MX,21.2833,-89.6667,70.11,70,95,20.87,overcast clouds
103,Manta,EC,-0.95,-80.7333,78.58,83,75,5.75,broken clouds
104,Margate,GB,51.3813,1.3862,48.69,86,100,8.99,overcast clouds
105,Natal,BR,-5.795,-35.2094,81.25,83,40,9.22,scattered clouds
106,Camacupa,AO,-12.0167,17.4833,61.41,94,96,2.48,overcast clouds
107,Mandalgovi,MN,45.7625,106.2708,-4.74,89,62,10.11,broken clouds
108,Gizo,SB,-8.103,156.8419,84.49,69,78,6.4,broken clouds
109,Edgewater,US,28.9889,-80.9023,63.0,62,30,14.56,scattered clouds
110,Necochea,AR,-38.5473,-58.7368,56.03,52,0,6.24,clear sky
111,Dunedin,NZ,-45.8742,170.5036,61.81,61,72,8.99,broken clouds
112,Kattivakkam,IN,13.2167,80.3167,79.07,78,21,6.46,few clouds
113,Nianzishan,CN,47.5167,122.8833,3.96,73,43,4.59,scattered clouds
114,East London,ZA,-33.0153,27.9116,71.31,81,20,9.95,few clouds
115,Beringovskiy,RU,63.05,179.3167,-20.47,95,28,9.19,scattered clouds
116,Qasigiannguit,GL,68.8193,-51.1922,7.05,99,100,8.12,light snow
